Symbol,yahoo_symbol,name,etf,test_issue,source
CHRN,CHRN,ChronoScale Holdings Corporation - Common Stock,False,False,nasdaq
CHRW,CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",False,False,nasdaq
CHTR,CHTR,"Charter Communications, Inc. - Class A Common Stock",False,False,nasdaq
CHYM,CHYM,"Chime Financial, Inc. - Class A Common Stock",False,False,nasdaq
CIFR,CIFR,Cipher Digital Inc. - Common Stock,False,False,nasdaq
CINF,CINF,Cincinnati Financial Corporation - Common Stock,False,False,nasdaq
CLDX,CLDX,"Celldex Therapeutics, Inc. - Common Stock",False,False,nasdaq
CLMT,CLMT,"Calumet, Inc - Common Stock",False,False,nasdaq
CLSK,CLSK,"CleanSpark, Inc. - Common Stock",False,False,nasdaq
CMCSA,CMCSA,Comcast Corporation - Class A Common Stock,False,False,nasdaq
CME,CME,CME Group Inc. - Class A Common Stock,False,False,nasdaq
COCO,COCO,"The Vita Coco Company, Inc. - Common Stock",False,False,nasdaq
COGT,COGT,"Cogent Biosciences, Inc. - Common Stock",False,False,nasdaq
COIN,COIN,"Coinbase Global, Inc. - Class A Common Stock",False,False,nasdaq
COKE,COKE,"Coca-Cola Consolidated, Inc. - Common Stock",False,False,nasdaq
COLB,COLB,"Columbia Banking System, Inc. - Common Stock",False,False,nasdaq
CORT,CORT,Corcept Therapeutics Incorporated - Common Stock,False,False,nasdaq
CORZ,CORZ,"Core Scientific, Inc. - Common Stock",False,False,nasdaq
COST,COST,Costco Wholesale Corporation - Common Stock,False,False,nasdaq
CPRT,CPRT,"Copart, Inc. - Common Stock",False,False,nasdaq
CRDO,CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,False,False,nasdaq
CRNX,CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",False,False,nasdaq
CROX,CROX,"Crocs, Inc. - Common Stock",False,False,nasdaq
CRSP,CRSP,CRISPR Therapeutics AG - Common Shares,False,False,nasdaq
CRUS,CRUS,"Cirrus Logic, Inc. - Common Stock",False,False,nasdaq
CRVL,CRVL,CorVel Corp. - Common Stock,False,False,nasdaq
CRWD,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",False,False,nasdaq
CRWV,CRWV,"CoreWeave, Inc. - Class A Common Stock",False,False,nasdaq
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",False,False,nasdaq
CSGP,CSGP,"CoStar Group, Inc. - Common Stock",False,False,nasdaq
CSX,CSX,CSX Corporation - Common Stock,False,False,nasdaq
CTAS,CTAS,Cintas Corporation - Common Stock,False,False,nasdaq
CTSH,CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,False,False,nasdaq
CVBF,CVBF,CVB Financial Corporation - Common Stock,False,False,nasdaq
CVCO,CVCO,"Cavco Industries, Inc. - Common Stock",False,False,nasdaq
CVLT,CVLT,"Commvault Systems, Inc. - Common Stock",False,False,nasdaq
CWST,CWST,"Casella Waste Systems, Inc. - Class A Common Stock",False,False,nasdaq
CYTK,CYTK,"Cytokinetics, Incorporated - Common Stock",False,False,nasdaq
CZR,CZR,"Caesars Entertainment, Inc. - Common Stock",False,False,nasdaq
DASH,DASH,"DoorDash, Inc. - Common Stock",False,False,nasdaq
DAVE,DAVE,Dave Inc.  - Class A Common Stock,False,False,nasdaq
DBX,DBX,"Dropbox, Inc. - Class A Common Stock",False,False,nasdaq
DDOG,DDOG,"Datadog, Inc. - Class A Common Stock",False,False,nasdaq
DFTX,DFTX,"Definium Therapeutics, Inc.  - Common Shares",False,False,nasdaq
DGII,DGII,Digi International Inc. - Common Stock,False,False,nasdaq
DIOD,DIOD,Diodes Incorporated - Common Stock,False,False,nasdaq
DKNG,DKNG,DraftKings Inc. - Class A Common Stock,False,False,nasdaq
DLO,DLO,DLocal Limited - Class A Common Shares,False,False,nasdaq
DLTR,DLTR,"Dollar Tree, Inc. - Common Stock",False,False,nasdaq
DNLI,DNLI,Denali Therapeutics Inc. - Common Stock,False,False,nasdaq
DNTH,DNTH,"Dianthus Therapeutics, Inc. - Common Stock",False,False,nasdaq
DOCU,DOCU,"DocuSign, Inc. - Common Stock",False,False,nasdaq
DOO,DOO,BRP Inc. - Common Subordinate Voting Shares,False,False,nasdaq
DORM,DORM,"Dorman Products, Inc. - Common Stock",False,False,nasdaq
DPZ,DPZ,Domino's Pizza Inc - Common Stock,False,False,nasdaq
DRS,DRS,"Leonardo DRS, Inc. - Common Stock",False,False,nasdaq
DSGX,DSGX,The Descartes Systems Group Inc. - Common Stock,False,False,nasdaq
DUOL,DUOL,"Duolingo, Inc. - Class A Common Stock",False,False,nasdaq
DXCM,DXCM,"DexCom, Inc. - Common Stock",False,False,nasdaq
DXPE,DXPE,"DXP Enterprises, Inc. - Common Stock",False,False,nasdaq
DYN,DYN,"Dyne Therapeutics, Inc. - Common Stock",False,False,nasdaq
EBAY,EBAY,eBay Inc. - Common Stock,False,False,nasdaq
EBC,EBC,"Eastern Bankshares, Inc. - Common Stock",False,False,nasdaq
ECHO,ECHO,EchoStar Corporation - Common stock,False,False,nasdaq
NMIH,NMIH,NMI Holdings Inc - Common Stock,False,False,nasdaq
NMRK,NMRK,"Newmark Group, Inc. - Class A Common Stock",False,False,nasdaq
NN,NN,NextNav Inc. - Common stock,False,False,nasdaq
NOVT,NOVT,Novanta Inc. - Common Shares,False,False,nasdaq
NSIT,NSIT,"Insight Enterprises, Inc. - Common Stock",False,False,nasdaq
NTAP,NTAP,"NetApp, Inc. - Common Stock",False,False,nasdaq
NTNX,NTNX,"Nutanix, Inc. - Class A Common Stock",False,False,nasdaq
NTRA,NTRA,"Natera, Inc. - Common Stock",False,False,nasdaq
NTSK,NTSK,"Netskope, Inc. - Class A Common Stock",False,False,nasdaq
NVDA,NVDA,NVIDIA Corporation - Common Stock,False,False,nasdaq
NVMI,NVMI,Nova Ltd. - Ordinary Shares,False,False,nasdaq
NVTS,NVTS,Navitas Semiconductor Corporation - Common Stock,False,False,nasdaq
NWE,NWE,"NorthWestern Energy Group, Inc.  - Common Stock",False,False,nasdaq
NWS,NWS,News Corporation - Class B Common Stock,False,False,nasdaq
